[Crash Reporter] Started with processId = 677124, at dir = '/group/techsup/ajayad/cases/current/Old/00711477/Versal-Ethernet/VCK190-Ethernet/2023.2/pl_4x25g_mrmac/Scripts', at time = Thu Aug 21 13:02:11 2025
[Crash Reporter] Created Process registration file in crash store: /group/techsup/ajayad/cases/current/Old/00711477/Versal-Ethernet/VCK190-Ethernet/2023.2/pl_4x25g_mrmac/Scripts/.crashReporter/xsjapps57_1755806527_676682/crashStore/processRegFile.txt
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:676800
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862546
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862552
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862590
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862579
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862592
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862565
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862596
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862593
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862577
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862661
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862561
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:862578
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:900015
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:900028
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:900217
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:900819
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:901725
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:901798
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:902488
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:902469
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:904278
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:904284
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:908341
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:910373
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:910905
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:910941
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:911217
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:911662
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:911866
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:912082
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:912655
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:913875
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:914130
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:917521
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:919784
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:920124
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:920464
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:920577
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:920914
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:921238
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:921793
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:921962
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:922479
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:924379
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:931027
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:931259
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:931568
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:931849
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:932065
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:932464
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:942041
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:943031
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:943030
[Crash Reporter] New process registration successfull for <hostname>:<pid> = xsjapps57:943174
[Crash Reporter] Crash Reporter exit condition met. No registered process is running and No pending crash report transmission.
[Crash Reporter] Deleted crash store.
[Crash Reporter] Exiting at Thu Aug 21 13:25:27 2025
